Coefficient,MAE,ExpVarS
2.9604885308262134,5.411808923466878,0.7833058861556962
1.439653291322795,5.411808923466878,0.7833058861556962
0.27824567491939006,5.411808923466878,0.7833058861556962
1.6550973598610543,5.411808923466878,0.7833058861556962
1.2556025520282772,5.411808923466878,0.7833058861556962
1.262517294125416,5.411808923466878,0.7833058861556962
1.5445892366119918,5.411808923466878,0.7833058861556962
0.9518001342774064,5.411808923466878,0.7833058861556962
0.9394965118016375,5.411808923466878,0.7833058861556962
0.8949315474630384,5.411808923466878,0.7833058861556962
0.7475910903370265,5.411808923466878,0.7833058861556962
0.8677102459910444,5.411808923466878,0.7833058861556962
1.1874150602886637,5.411808923466878,0.7833058861556962
1.9623354195292424,5.411808923466878,0.7833058861556962
0.08012560199124119,5.411808923466878,0.7833058861556962
1.3145400808866823,5.411808923466878,0.7833058861556962
10.997890213754001,5.411808923466878,0.7833058861556962
1.6362059379246694,5.411808923466878,0.7833058861556962
0.04468358762915231,5.411808923466878,0.7833058861556962
2.5404621103544747,5.411808923466878,0.7833058861556962
